2017-11-21 15:29:03,933099967593422850,@ShawInfo @TELUS,"#yegcc Seriously, improve the corporate culture by telling @ShawInfo @TELUS you don't approve of their selling internet porn the home Tv."
2017-11-21 13:25:46,933068944092446720,,#fellowkids
2017-11-21 12:45:09,933058723798568962,,"Hire me as your social media guy, this is just embarrassing"
2017-11-21 12:23:37,933053305349132288,@ShawInfo @ShawClassic,Amazing! Thank you @ShawInfo @ShawClassic for making a tremendous difference for children and youth in our community! #yyc https:// twitter.com/HorizonYYC/sta tus/931633091398942720 …
2017-11-21 12:16:54,933051613920468992,,Get out of my timeline you crooks.
2017-11-21 11:51:57,933045333013225473,,Yes there is shame. My students have exams coming up and essays to write.
2017-11-21 11:42:29,933042950082215936,@Puglaas @ShawInfo @TELUS,#ableg #abed Probable culpability of internet porn. It is a serious issue. Asking @Puglaas to address. Your views? Also laws still on books to indite @ShawInfo @TELUS for Cable Tv VOD anti-Familyism porn sales pic.twitter.com/zYDtUtHpkX
2017-11-21 11:27:14,933039112457768960,@TOArtsFdn @JohnTory @ShawInfo,WOW!! We helped raise over ONE MILLION DOLLARS for @TOArtsFdn w/ support from Mayor @JohnTory & @ShawInfo at The Mayors Evening For The Arts Gala #hosts #mayorseveningforthearts #artsto #support #thearts pic.twitter.com/2pIN4bp26z
2017-11-21 10:49:22,933029583569301504,@ShawFireLog @ShawInfo,thinking about when the @ShawFireLog will be back on my television screen. @ShawInfo
2017-11-21 09:33:57,933010605191114752,@intel @ShawInfo @virginmedia @ARRIS @Cisco @NETGEAR,Cable operators let down by @intel but then continue to let down customers with continued use of plagued #IntelPuma #modems @ShawInfo @virginmedia @ARRIS @Cisco @NETGEAR
2017-11-21 09:23:36,933008002348544000,@shawinfo @Telus,"#ableg #abed Hi, would appreciate the YWCA speaking out on @shawinfo @Telus hurting women and children with their anti-Familyism Tv porn sales. Also, pic.twitter.com/t6S0pf0QJF"
2017-11-20 21:46:56,932832679850070016,@noahcappe @TOArtsFdn @ShawInfo @JohnTory,You and @noahcappe did a great job! More than $1-million raised for @TOArtsFdn with help from @ShawInfo at Mayor @JohnTory Arts Gala. https:// twitter.com/cherylhickeyet c/status/932830399910240256 …
2017-11-20 21:01:26,932821227005083649,@Shawhelp @ShawInfo,@Shawhelp @ShawInfo WORST customer service I've experienced... And this is all while being charged hundreds of $$$ for an issue that's already resolved. Abusing power and playing with people's credit is not fair #Shaw #internet #phone
2017-11-20 19:54:22,932804349650227200,@ShawInfo @mrslesliebrooks,Lovin' #Netflix on #BlueSky and this fab gift basket from @ShawInfo and @mrslesliebrooks https:// wn.nr/ykmW4s
2017-11-20 19:45:46,932802185066201088,@ShawInfo @mrslesliebrooks,Lovin' #Netflix on #BlueSky and this fab gift basket from @ShawInfo and @mrslesliebrooks https:// wn.nr/bs7qjy
2017-11-20 17:18:30,932765127480242176,@ShawInfo @mrslesliebrooks,Lovin' #Netflix on #BlueSky and this fab gift basket from @ShawInfo and @mrslesliebrooks https:// wn.nr/p625mt
2017-11-20 17:16:04,932764514017214464,@shawinfo,"Thank you @shawinfo for joining us tonight for the first time as VIP reception sponsor, bringing us this special presentation #MayorsArtsEve pic.twitter.com/tuEx6KCK8g"
2017-11-20 16:01:05,932745640903348224,@shawinfo,Former CFL quarterback Damon Allen is at the #MayorsArtsEve with the Grey Cup! Thanks to our sponsor @shawinfo for giving our guests an opportunity to see it! pic.twitter.com/fg6pn6mwQb
2017-11-20 16:00:26,932745478634008577,@ShawInfo,Thank you @ShawInfo for the great customer service from both your online and phone support today. #rockstars
2017-11-20 15:44:29,932741465255567360,@ShawInfo @mrslesliebrooks,Lovin' #Netflix on #BlueSky and this fab gift basket from @ShawInfo and @mrslesliebrooks https:// wn.nr/YEk7Hd
2017-11-20 15:17:18,932734623540330496,@BrCklearns @ClassroomChamps @baileybram17 @Surrey_Schools @ShawInfo,@BrCklearns @ClassroomChamps . work to plan and implement #community building playground activities. @baileybram17 @Surrey_Schools @ShawInfo pic.twitter.com/qHWeLoepnZ
2017-11-20 15:13:59,932733789473853440,@_jennawarren @HaileyKittle_ @ShawInfo,TAKEN TOO FAR starring @_jennawarren @HaileyKittle_ #Canadian premiere Dec. 5th platforms include @ShawInfo VOD #DanceMoms #FEAR #Dance pic.twitter.com/nREWoqxmE1
2017-11-20 14:24:27,932721324115374080,@DilawriAutoYYC @RaymondJamesCDN @ShawInfo,"With the help of our Presenting Sponsors, volunteers, attendees, and partners we were able to raise $255,000 for children and their families. WOW! #tasteofhomeyyc #KeepingFamiliesClose ™ We hope to see you out next year, Thank you all @DilawriAutoYYC @RaymondJamesCDN @ShawInfo https:// twitter.com/DilawriAutoYYC /status/931243249062133760 …"
2017-11-20 12:38:30,932694662321618944,@ShawInfo @mrslesliebrooks,Lovin' #Netflix on #BlueSky and this fab gift basket from @ShawInfo and @mrslesliebrooks https:// wn.nr/khMNRP
2017-11-20 11:56:00,932683963855863808,@ShawInfo,Retweeted Shaw Communications ( @ShawInfo ): #BlueSkyTV + #Netflix . Let the holiday binge begin.... http:// fb.me/MCEZGhHy
2017-11-20 11:24:26,932676021115019264,,Hello I ask really as a Small Favor Go Easy on the Christmas/Hanukkah advertising as in this house at least there will be no Celebration for the holidays due to serious illness in the Family
2017-11-20 11:03:16,932670694562738176,@ShawInfo @mrslesliebrooks,Lovin' #Netflix on #BlueSky and this fab gift basket from @ShawInfo and @mrslesliebrooks https:// wn.nr/DEEFVZ
2017-11-20 09:21:36,932645109149048834,@ShawInfo @mrslesliebrooks,Lovin' #Netflix on #BlueSky and this fab gift basket from @ShawInfo and @mrslesliebrooks https:// wn.nr/JEEn8b
2017-11-20 07:15:04,932613265766547457,@ShawInfo,"As sponsor of the #GreyCup , @ShawInfo has to be happy with the final pairing: HQ city vs Canada's largest market with game in Nation's capital"
2017-11-20 03:50:13,932561713538392064,@CBCEdmonton @CBCCalgary @cardus @CBCEyeopener @CBCNews @cbcfifth,#ableg #abed Thanks. Will do. I saw that the CTV Go app is advertised as a chrome cast app that will let you send video to the Tv. I hope the CBC app will as well. Cc @CBCEdmonton @CBCCalgary @cardus @CBCEyeopener @CBCNews @cbcfifth
2017-11-20 03:10:42,932551767761367040,@ShawInfo @mrslesliebrooks,Lovin' #Netflix on #BlueSky and this fab gift basket from @ShawInfo and @mrslesliebrooks https:// wn.nr/khhrrT
2017-11-19 22:40:18,932483722028314624,@ShawInfo,"Sorry @ShawInfo , this will be my Christmas background to present opening this year instead of the Shaw fire. https:// twitter.com/openculture/st atus/932469696527347712 …"
2017-11-19 19:53:59,932441864367611904,@ShawInfo @mrslesliebrooks,Lovin' #Netflix on #BlueSky and this fab gift basket from @ShawInfo and @mrslesliebrooks https:// wn.nr/PTTEUS
