2017-10-22 20:57,"@pollock241 Hello! Sounds good to me! If you're looking for options, please follow and DM! ^Lance"
2017-10-22 20:26,"@Vanvan604 Hi Jay. It is indeed back! If you could send a DM, we can look at your account and let you know your options! ^Lance"
2017-10-22 20:23,"@KatieMean True, true! ^Lance"
2017-10-22 20:18,@KatieMean We can really only jump in when someone mentions us by name. Otherwise it's not playing fair in the sandbox. :) ^Lance
2017-10-22 20:14,"@KatieMean I can't comment on it since we're working with them. But alas, no access to Redzone. You still need the DAZN app for that. ^Lance"
2017-10-22 20:08,"@KatieMean Ssssssh, we're lurking! But if anyone is looking for options, we're here for them! ^Lance"
2017-10-22 20:00,"@TonyHo94 To register for a Shaw ID, you can go to https://t.co/ZHtOihJR8w ^Lance"
2017-10-22 19:58,"@steveayres49 Ah, back to full strong colour again? Odd that went dim like that but good that a quick reboot fixed it. ^Lance"
2017-10-22 19:53,@BoomerMia I'd like to take a look at it. Could you send me your address over DM please? Thanks! ^Lance
2017-10-22 19:51,@steveayres49 Looks like a Gateway portal. What happens if you pull the power cord for 10 seconds? ^Lance
2017-10-22 19:46,"@steveayres49 Hello! Wow, that's really faint and hard to read. Words to the right of it are good. Is this on every… https://t.co/hxsIuz7uxa"
2017-10-22 19:41,@BoomerMia HI Pat. NoIP means no signal getting to the HD box. Could you reconnect coaxial cable on back of it and… https://t.co/abGwC0jOse
2017-10-22 19:40,"@TelfordLeanne Ah, looks like it's due to the power poles being swapped out. Should be back online once they're don… https://t.co/AZ6GNCIobB"
2017-10-22 19:36,@TelfordLeanne Hi Leanne. Technicians are onsite working on it and we hope to have everything back online soon. Upd… https://t.co/dt2uTb1wpo
2017-10-22 19:31,@JKerby_88 Hi John. Technicians are onsite in your area and we expect to have services back up soon! https://t.co/yND3WAJI29 ^Lance
2017-10-22 18:49,@Wazzy24 Hey Jeff! It should be working. Haven't heard of any reports that it isn't. Could you DM me your acct info… https://t.co/fyaSrByOyy
2017-10-22 18:47,"@XenoSynergy Hey Jonathan, could you DM me your account info? I can check! ^Harvey"
2017-10-22 18:43,@wpgguy No rush! :) ^Harvey
2017-10-22 18:36,@wpgguy Oh no! Shoot me a DM with your account info and I can help set something up. ^Harvey https://t.co/4wSB2SMXQG
2017-10-22 18:26,@KatieMean Hi Cathleen. Shaw and Rogers don't have overlapping areas. What city/town are you in? ^Lance
2017-10-22 18:22,"@wpgguy Nope, shouldn't show DNS error. Try changing DNS in TV settings to 8.8.8.8 and see if that fixes it. ^Lance"
2017-10-22 18:16,"@UR_Dime Hey Chris, that would be frustrating. Could you send us more details over DM? We can continue yesterday's… https://t.co/7JyG2ApDd1"
